college_name,state,branch,cutoff_open,cutoff_obc,cutoff_sc,cutoff_st,nirf_score
IET Lucknow,UP,CSE,10500,13200,28000,35000,72.1
HBTU Kanpur,UP,CSE,9800,12500,25000,32000,78.4
MMMUT Gorakhpur,UP,CSE,11500,14500,30000,37000,69.8
AKTU Institute A,UP,CSE,14000,17000,33000,40000,60.5
AKTU Institute B,UP,CSE,16000,19000,36000,45000,55.2
GBU Greater Noida,UP,CSE,13000,15500,31500,39000,65.0
NIT Allahabad,UP,CSE,4200,7800,22000,30000,89.1
JSS Noida,UP,CSE,17500,21000,39000,47000,57.0
ABES Ghaziabad,UP,CSE,18500,22000,41000,50000,54.0
KIET Ghaziabad,UP,CSE,17000,20500,38000,46000,58.8
